Transmitter,Order,Section,Direction,First.array
A69-9007-6902,4,OuterW_P,Passamaquoddy Bay,C
A69-9007-6908,4,Fundy_Isles,Fundy,HH
A69-9007-6910,4,InnerWP,Passamaquoddy Bay,B
A69-9007-6914,4,OuterW_P,Fundy,C
A69-9007-6930,4,OuterW_P,Fundy,C
A69-9007-6934,4,Saint_Croix_River,Passamaquoddy Bay,G
A69-9007-6936,4,OuterW_P,Fundy,C
A69-9007-6944,4,InnerWP,Fundy,B
A69-9007-6922,4,Fairhaven,Passamaquoddy Bay,A
A69-9007-6924,4,OuterW_P,Fundy,C
A69-9007-6928,4,Bocabec_River,Passamaquoddy Bay,L
A69-9007-6946,4,OuterW_P,Passamaquoddy Bay,C
