Release.date,Serial.nr,Length.mm,Weight.g,Release.site,Signal,Sensor.unit
2021-09-23T15:15:00Z,1392829,395,745,Site A,6804|6805,T|D
2021-09-23T15:15:00Z,1392830,365,654,Site A,6806|6807,T|D
2021-09-23T15:15:00Z,1392831,385,723,Site A,6808|6809,T|D
2021-09-23T15:45:00Z,1392832,405,622,Site A,6810|6811,T|D
2021-09-23T15:45:00Z,1392833,385,771,Site A,6812|6813,T|D
2021-09-23T15:45:00Z,1392834,390,749,Site A,6814|6815,T|D
2021-09-23T15:45:00Z,1392835,385,662,Site A,6816|6817,T|D
2021-09-23T15:45:00Z,1392836,340,449,Site A,6818|6819,T|D
2021-09-23T16:18:00Z,1392837,365,532,Site A,6820|6821,T|D
2021-09-23T16:18:00Z,1392838,340,457,Site A,6822|6823,T|D
2021-09-23T16:18:00Z,1392839,350,462,Site A,6824|6825,T|D
2021-09-23T16:18:00Z,1392840,360,583,Site A,6826|6827,T|D
2021-09-23T16:18:00Z,1392841,360,527,Site A,6828|6829,T|D
2021-09-23T17:08:00Z,1392842,345,520,Site A,6830|6831,T|D
2021-09-23T17:08:00Z,1392843,380,675,Site A,6832|6833,T|D
2021-09-23T17:08:00Z,1392844,370,583,Site A,6834|6835,T|D
2021-09-23T17:08:00Z,1392845,360,553,Site A,6836|6837,T|D
2021-09-23T17:08:00Z,1392846,350,505,Site A,6838|6839,T|D
2021-09-23T17:30:00Z,1392847,365,625,Site A,6840|6841,T|D
2021-09-23T17:30:00Z,1392848,365,597,Site A,6842|6843,T|D
2021-09-23T17:30:00Z,1392849,380,610,Site A,6844|6845,T|D
2021-09-23T17:30:00Z,1392850,370,640,Site A,6846|6847,T|D
2021-09-23T17:30:00Z,1392851,375,615,Site A,6848|6849,T|D
2021-09-27T15:20:00Z,1392852,345,503,Site A,6850|6851,T|D
2021-09-27T15:20:00Z,1392853,395,686,Site A,6852|6853,T|D
2021-09-27T15:20:00Z,1392854,370,538,Site A,6854|6855,T|D
2021-09-27T15:20:00Z,1392855,370,570,Site A,6856|6857,T|D
2021-09-27T15:20:00Z,1392856,350,554,Site A,6858|6859,T|D
2021-09-27T15:47:00Z,1392857,355,515,Site A,6860|6861,T|D
2021-09-27T15:47:00Z,1392858,330,433,Site A,6862|6863,T|D
2021-09-27T15:47:00Z,1392859,355,560,Site A,6864|6865,T|D
2021-09-27T15:47:00Z,1392860,370,635,Site A,6866|6867,T|D
2021-09-27T15:47:00Z,1392861,405,838,Site A,6868|6869,T|D
2021-09-27T16:00:00Z,1392862,345,494,Site A,6870|6871,T|D
2021-09-27T16:00:00Z,1392863,315,382,Site A,6872|6873,T|D
2021-09-27T16:00:00Z,1392864,375,653,Site A,6874|6875,T|D
2021-09-27T16:00:00Z,1392865,310,321,Site A,6876|6877,T|D
2021-09-27T16:00:00Z,1392866,320,384,Site A,6878|6879,T|D
2021-09-27T16:57:00Z,1392867,360,554,Site A,6880|6881,T|D
2021-09-27T16:57:00Z,1392868,370,574,Site A,6882|6883,T|D
2021-09-27T16:57:00Z,1392870,400,757,Site A,6886|6887,T|D
2021-09-27T16:57:00Z,1392871,380,690,Site A,6888|6889,T|D
2021-09-27T17:10:00Z,1392872,390,727,Site A,6890|6891,T|D
2021-09-27T17:10:00Z,1392873,390,709,Site A,6892|6893,T|D
2021-09-27T17:10:00Z,1392874,370,660,Site A,6894|6895,T|D
2021-09-27T17:10:00Z,1392875,380,633,Site A,6896|6897,T|D
2021-09-27T17:10:00Z,1392876,400,731,Site A,6898|6899,T|D
2021-09-29T16:04:00Z,1392877,395,747,Site A,6900|6901,T|D
2021-09-29T14:32:00Z,1392878,405,849,Site A,6902|6903,T|D
2021-09-29T14:32:00Z,1392879,330,399,Site A,6904|6905,T|D
2021-09-29T14:32:00Z,1392881,370,615,Site A,6908|6909,T|D
2021-09-29T14:40:00Z,1392882,360,544,Site A,6910|6911,T|D
2021-09-29T14:40:00Z,1392883,400,705,Site A,6912|6913,T|D
2021-09-29T14:40:00Z,1392884,375,648,Site A,6914|6915,T|D
2021-09-29T15:00:00Z,1392888,405,748,Site A,6922|6923,T|D
2021-09-29T15:00:00Z,1392889,400,790,Site A,6924|6925,T|D
2021-09-29T15:00:00Z,1392890,415,803,Site A,6926|6927,T|D
2021-09-29T15:00:00Z,1392891,320,384,Site A,6928|6929,T|D
2021-09-29T16:04:00Z,1392892,390,641,Site A,6930|6931,T|D
2021-09-29T16:04:00Z,1392893,385,613,Site A,6932|6933,T|D
2021-09-29T16:04:00Z,1392894,340,456,Site A,6934|6935,T|D
2021-09-29T16:04:00Z,1392895,340,496,Site A,6936|6937,T|D
2021-09-29T16:04:00Z,1392896,415,712,Site A,6938|6939,T|D
2021-09-29T16:30:00Z,1392897,435,713,Site A,6940|6941,T|D
2021-09-29T16:30:00Z,1392898,405,651,Site A,6942|6943,T|D
2021-09-29T16:30:00Z,1392899,405,667,Site A,6944|6945,T|D
2021-09-29T16:30:00Z,1392900,350,449,Site A,6946|6947,T|D
