Receiver,Station.name,Latitude,Longitude,Section,farm_name,Start,Stop,Type
546754,FI-11,44.98466,-66.87786,Fundy Isles,NA,2021-05-13T13:27:00Z,2021-11-29T11:27:00Z,Hydrophone
546528,FI-12B,44.98077,-66.88108,Fundy Isles,NA,2021-07-07T14:23:00Z,2021-11-29T11:18:00Z,Hydrophone
548180,FI-13B,44.97608,-66.88425,Fundy Isles,NA,2021-07-07T14:34:00Z,2021-11-29T11:39:00Z,Hydrophone
548181,FI-14B,44.97197,-66.88815,Fundy Isles,NA,2021-07-07T14:44:00Z,2021-11-29T11:49:00Z,Hydrophone
548182,FI-15B,44.96746,-66.89123,Fundy Isles,NA,2021-07-07T14:51:00Z,2021-11-29T11:51:00Z,Hydrophone
548183,FI-16B,44.9634,-66.89439,Fundy Isles,NA,2021-07-07T15:01:00Z,2021-11-29T12:07:00Z,Hydrophone
548184,FI-17B,44.95955,-66.89746,Fundy Isles,NA,2021-07-07T15:11:00Z,2021-11-29T12:12:00Z,Hydrophone
548189,HHP-01,44.9642,-66.95436,Head Harbour Passage,NA,2021-05-06T19:58:00Z,2021-11-17T11:55:00Z,Hydrophone
548190,HHP-02,44.96127,-66.94888,Head Harbour Passage,NA,2021-05-06T19:55:00Z,2021-11-17T13:00:00Z,Hydrophone
548191,HHP-03,44.96049,-66.94366,Head Harbour Passage,NA,2021-05-06T19:52:00Z,2021-11-17T12:14:00Z,Hydrophone
548193,HHP-04,44.95628,-66.93891,Head Harbour Passage,NA,2021-05-06T19:49:00Z,2021-11-17T12:23:00Z,Hydrophone
547436,HHP-06,44.95093,-66.92309,Head Harbour Passage,NA,2021-05-06T19:38:00Z,2021-11-17T13:14:00Z,Hydrophone
124697,HW-01,45.02365,-66.86737,Limekiln Harbour,Eagle Island,2021-05-06T18:29:00Z,2022-01-06T12:00:00Z,Hydrophone
124699,HW-02,44.91311,-66.88821,Nancy Rock,Ship Head,2021-05-06T16:14:00Z,2021-11-30T12:30:00Z,Hydrophone
124702,HW-03,44.97745,-66.71253,The Wolves,Paul's Cove,2021-05-04T12:54:00Z,2021-11-23T09:57:00Z,Hydrophone
126630,HW-04,44.96708,-66.71152,The Wolves,Southern Cove,2021-05-04T13:12:00Z,2021-11-23T10:13:00Z,Hydrophone
126636,HW-05,44.77796,-66.82214,Grand Manan,Money Cove,2021-05-04T16:58:00Z,2021-12-04T12:00:00Z,Hydrophone
126639,HW-06,44.778471,-66.750132,Grand Manan,Jubilee,2021-05-04T16:10:00Z,2021-12-04T13:00:00Z,Hydrophone
546382,LLP-I-02,45.03934,-66.94204,Little L'etete Passage,NA,2021-05-07T17:31:00Z,2021-11-30T13:43:00Z,Hydrophone
546690,LN-01,44.86383,-66.98161,Lubec Narrows,NA,2021-05-06T14:30:00Z,2021-11-30T10:54:00Z,Hydrophone
108835,LR-01,45.14002,-66.49302,Lepreau River,NA,2021-07-27T16:46:00Z,2021-12-03T11:49:00Z,Hydrophone
108755,LR-02,45.15033,-66.48711,Lepreau River,NA,2021-07-27T17:05:00Z,2021-12-03T11:41:00Z,Hydrophone
109571,MR-B-01B,45.12651,-66.82368,Magaguadavic River,NA,2021-05-06T15:00:00Z,2021-12-03T14:11:00Z,Hydrophone
124674,MR-O-01B,45.10976,-66.89475,Magaguadavic River,NA,2021-07-06T15:39:00Z,2021-11-24T11:07:00Z,Hydrophone
480909,MR-O-01C,45.11438,-66.90001,Magaguadavic River,NA,2021-11-24T14:10:00Z,2022-05-25T12:16:00Z,Hydrophone
124675,MR-O-02B,45.11583,-66.90104,Magaguadavic River,NA,2021-07-06T15:47:00Z,2021-11-24T10:56:00Z,Hydrophone
108829,NH-01,44.98255,-67.00909,Passamaquoddy Bay,NA,2021-09-17T15:25:00Z,2021-11-17T14:26:00Z,Hydrophone
108831,NWH-01,44.98569,-66.951344,Head Harbour Passage,NA,2021-09-17T16:25:00Z,2021-11-17T11:35:00Z,Hydrophone
548875,QN-01,44.81921,-66.94785,Quoddy Narrows,NA,2021-05-06T14:54:00Z,2021-11-30T11:18:00Z,Hydrophone
548876,QN-02,44.82244,-66.9431,Quoddy Narrows,NA,2021-05-06T15:03:00Z,2021-11-30T11:24:00Z,Hydrophone
548877,QN-03,44.8259,-66.93818,Quoddy Narrows,NA,2021-05-06T15:06:00Z,2021-11-30T11:31:00Z,Hydrophone
548878,QN-04,44.82922,-66.93343,Quoddy Narrows,NA,2021-05-06T15:09:00Z,2021-11-30T11:38:00Z,Hydrophone
127577,SAH-01,45.07151,-67.06287,Passamaquoddy Bay,NA,2021-05-07T13:11:00Z,2021-11-24T12:50:00Z,Hydrophone
127578,SAH-02,45.06914,-67.04938,Passamaquoddy Bay,NA,2021-05-07T13:19:00Z,2021-11-24T12:40:00Z,Hydrophone
